Sample in Buffer,Sample in Window,TRIGGER,Aquila_SoC/RISCV_CORE0/BPU_Profiler/incorrect_predictions_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/prediction_accuracy_denominator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/mispred_penalty_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/total_branches_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/cpi_denominator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/correct_predictions_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/bht_hits_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/bht_hit_rate_numerator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/bht_misses_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/bht_hit_rate_denominator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/prediction_accuracy_numerator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/instruction_completed_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/fetch_pc_debug[31:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/execution_cycles_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/cpi_numerator_debug[63:0],Aquila_SoC/RISCV_CORE0/BPU_Profiler/penalty_counting_debug
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,HEX,HEX,HEX,HEX
1321,1321,0,12494010,269963747,13775964,277768628,000000004ce313db,257469738,39962900,39962900,262873929,302836828,257469737,000000004ce313dc,00004d20,000000005af85b34,000000005af85b33,0
1322,1322,0,12494010,269963748,13775964,277768628,000000004ce313dc,257469738,39962900,39962900,262873929,302836829,257469738,000000004ce313dd,00004d20,000000005af85b35,000000005af85b34,0
1323,1323,0,12494010,269963748,13775964,277768628,000000004ce313dd,257469738,39962900,39962900,262873929,302836829,257469738,000000004ce313dd,00004d20,000000005af85b35,000000005af85b35,0
1324,1324,0,12494010,269963748,13775964,277768628,000000004ce313dd,257469738,39962900,39962900,262873929,302836829,257469738,000000004ce313de,00004d18,000000005af85b36,000000005af85b35,0
1325,1325,0,12494010,269963748,13775964,277768628,000000004ce313de,257469738,39962900,39962900,262873929,302836829,257469738,000000004ce313de,00004d1c,000000005af85b37,000000005af85b36,0
1326,1326,0,12494010,269963748,13775964,277768629,000000004ce313de,257469739,39962900,39962900,262873930,302836829,257469738,000000004ce313df,00004d20,000000005af85b38,000000005af85b37,0
1327,1327,0,12494010,269963749,13775964,277768629,000000004ce313df,257469739,39962900,39962900,262873930,302836830,257469739,000000004ce313e0,00004d20,000000005af85b39,000000005af85b38,0
1328,1328,0,12494010,269963749,13775964,277768629,000000004ce313e0,257469739,39962900,39962900,262873930,302836830,257469739,000000004ce313e0,00004d20,000000005af85b39,000000005af85b39,0
1329,1329,0,12494010,269963749,13775964,277768629,000000004ce313e0,257469739,39962900,39962900,262873930,302836830,257469739,000000004ce313e1,00004d18,000000005af85b3a,000000005af85b39,0
1330,1330,0,12494010,269963749,13775964,277768629,000000004ce313e1,257469739,39962900,39962900,262873930,302836830,257469739,000000004ce313e1,00004d1c,000000005af85b3b,000000005af85b3a,0
